epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1573.28,1.07702,1.74645,1.41339,1.32669,0.77966,0.70242,0.78127,0.56648,0.74724,0.65733,0.71685,0.46011,0.97368,1.47689,0.9154,1.20098,0.007129,0.007129,0.007129
31,2098.98,1.07082,1.71427,1.3978,1.32149,0.76959,0.70984,0.78012,0.56647,0.72992,0.66963,0.71935,0.45838,0.97229,1.46949,0.91141,1.20181,0.00703,0.00703,0.00703
32,2625.73,1.06162,1.72955,1.39118,1.32158,0.7797,0.70834,0.78516,0.57254,0.75114,0.66324,0.7252,0.46599,0.96507,1.46855,0.89647,1.19434,0.006931,0.006931,0.006931
33,3150.2,1.0592,1.70153,1.38646,1.31809,0.78029,0.71796,0.78994,0.57631,0.74571,0.67031,0.72773,0.46767,0.96008,1.46677,0.88757,1.19205,0.006832,0.006832,0.006832
34,3673.45,1.05705,1.70708,1.36791,1.31291,0.77674,0.72111,0.7896,0.57626,0.73687,0.68043,0.7259,0.46831,0.95922,1.46019,0.88825,1.18947,0.006733,0.006733,0.006733
35,4198.22,1.05336,1.67042,1.36965,1.30744,0.79169,0.71385,0.79373,0.57959,0.75878,0.66857,0.7304,0.47114,0.96166,1.45338,0.88209,1.19242,0.006634,0.006634,0.006634
36,4722.49,1.04943,1.69335,1.35051,1.30513,0.79945,0.71133,0.79627,0.58077,0.76183,0.66965,0.73118,0.47359,0.95662,1.44634,0.87536,1.18647,0.006535,0.006535,0.006535
37,5249.45,1.04032,1.66863,1.34855,1.30218,0.79294,0.7203,0.799,0.58494,0.7556,0.67554,0.73462,0.47644,0.95301,1.4392,0.86893,1.18172,0.006436,0.006436,0.006436
38,5775,1.04262,1.67383,1.34947,1.30353,0.79907,0.71464,0.79718,0.5858,0.76054,0.67169,0.73256,0.47554,0.94958,1.44027,0.86765,1.17997,0.006337,0.006337,0.006337
39,6299.65,1.04043,1.68941,1.33026,1.3001,0.80083,0.71152,0.79729,0.58536,0.77409,0.66438,0.73193,0.4761,0.94581,1.43871,0.8635,1.17891,0.006238,0.006238,0.006238
40,6822.71,1.03398,1.65587,1.32169,1.29782,0.8035,0.71012,0.79932,0.58794,0.76983,0.66835,0.73712,0.47651,0.94331,1.43374,0.86003,1.17507,0.006139,0.006139,0.006139
41,7347.83,1.03283,1.65686,1.31256,1.29397,0.80284,0.71875,0.79955,0.5899,0.7678,0.67693,0.73658,0.47886,0.94273,1.42855,0.85556,1.17429,0.00604,0.00604,0.00604
42,7872.87,1.02842,1.63939,1.30745,1.29377,0.79313,0.72466,0.80255,0.5922,0.75724,0.68413,0.73963,0.48272,0.94157,1.42701,0.85291,1.17337,0.005941,0.005941,0.005941
43,8397.94,1.03094,1.64997,1.29541,1.29172,0.80338,0.72073,0.80296,0.59322,0.76563,0.68111,0.74099,0.48307,0.93914,1.43161,0.84964,1.17193,0.005842,0.005842,0.005842
44,8924.86,1.02566,1.65548,1.29165,1.28895,0.79057,0.73007,0.80311,0.59504,0.75847,0.69109,0.74537,0.48442,0.93628,1.43051,0.84623,1.16936,0.005743,0.005743,0.005743
45,9449.4,1.01975,1.63482,1.2872,1.28333,0.79479,0.7311,0.80497,0.59703,0.75881,0.69293,0.7455,0.48665,0.93422,1.42367,0.84393,1.16723,0.005644,0.005644,0.005644
46,9973.02,1.01833,1.63532,1.27329,1.28338,0.79267,0.73513,0.80715,0.59814,0.75448,0.69798,0.74651,0.48821,0.93191,1.42369,0.83997,1.16526,0.005545,0.005545,0.005545
47,10498,1.01517,1.62888,1.27122,1.27817,0.79841,0.73326,0.8083,0.59959,0.76262,0.69551,0.74784,0.48918,0.9311,1.42165,0.83463,1.16323,0.005446,0.005446,0.005446
48,11021.8,1.00969,1.63127,1.26062,1.2778,0.79439,0.73619,0.8083,0.5994,0.75577,0.69619,0.74834,0.49158,0.92935,1.42191,0.83231,1.16188,0.005347,0.005347,0.005347
49,11546,1.00649,1.62483,1.25324,1.27655,0.80334,0.72819,0.80936,0.60162,0.76837,0.68546,0.74904,0.4933,0.9292,1.4194,0.82936,1.1614,0.005248,0.005248,0.005248
50,12071.8,1.00408,1.6118,1.24695,1.27258,0.80118,0.73291,0.81164,0.60315,0.77358,0.68395,0.74989,0.49463,0.92763,1.41663,0.8262,1.15959,0.005149,0.005149,0.005149
51,12598.6,0.9998,1.61145,1.23357,1.27147,0.7923,0.74125,0.81239,0.60389,0.76665,0.69269,0.75134,0.4949,0.92604,1.41664,0.82389,1.15828,0.00505,0.00505,0.00505
